,marital_status,application_mode,application_order,course,daytime_evening_attendance,previous_qualification,previous_qualification_grade,nationality,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,unemployment_rate,inflation_rate,GDP,status
0,single,2nd general contingent,5,Animation and Multimedia Design,daytime,secondary education,122.0,Portuguese,127.3,Yes,No,No,yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,single,International students,1,Tourism,daytime,secondary education,160.0,Portuguese,142.5,Yes,No,No,No,Male,No,19,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
2,single,General Contingent,5,Communication Design,daytime,secondary education,122.0,Portuguese,124.8,Yes,No,No,No,Male,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
3,single,2nd general contingent,2,Journalism and Communication,daytime,secondary education,122.0,Portuguese,119.6,Yes,No,No,yes,Female,No,20,No,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
4,married,Over 23 years old,1,Social Service (evening attendance),evening,secondary education,100.0,Portuguese,141.5,No,No,No,yes,Female,No,45,No,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
5,married,Over 23 years old,1,Management (evening attendance,evening,basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,114.8,No,No,Yes,yes,Male,No,50,No,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
6,single,General Contingent,1,Nursing,daytime,secondary education,142.0,Portuguese,128.4,Yes,No,No,yes,Female,Yes,18,No,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
7,single,3rd general contingent,4,Tourism,daytime,secondary education,119.0,Portuguese,113.1,Yes,No,No,No,Male,No,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
8,single,General Contingent,3,Social Service,daytime,secondary education,137.0,Romanian,129.3,No,No,No,yes,Female,Yes,21,Yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
9,single,General Contingent,1,Social Service,daytime,secondary education,138.0,Portuguese,123.0,Yes,No,Yes,No,Female,No,18,No,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
10,single,General Contingent,1,Advertising and Marketing Management,daytime,secondary education,139.0,Portuguese,130.6,Yes,No,No,yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
11,single,General Contingent,1,Nursing,daytime,secondary education,136.0,Portuguese,119.3,Yes,No,No,yes,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
12,single,General Contingent,2,Basic Education,daytime,secondary education,133.0,Portuguese,130.2,Yes,No,No,yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
13,single,Short Cycle Diploma Holders,1,Tourism,daytime,professional higher technical course,110.0,Portuguese,111.8,Yes,No,No,yes,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
14,single,General Contingent,1,Veterinary Nursing,daytime,secondary education,149.0,Portuguese,137.1,Yes,No,No,yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
15,single,General Contingent,1,Journalism and Communication,daytime,secondary education,127.0,Portuguese,120.7,Yes,No,No,yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
16,single,3rd general contingent,1,Social Service,daytime,secondary education,137.0,Portuguese,137.4,Yes,No,No,yes,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
17,single,2nd general contingent,2,Nursing,daytime,secondary education,135.0,Portuguese,127.3,Yes,No,No,yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
18,single,General Contingent,1,Equinculture,daytime,secondary education,137.0,Portuguese,136.3,Yes,No,No,yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
19,single,General Contingent,1,Basic Education,daytime,secondary education,140.0,Portuguese,124.6,Yes,No,No,yes,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
20,single,General Contingent,3,Animation and Multimedia Design,daytime,secondary education,122.0,Portuguese,120.3,No,No,No,yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
21,single,3rd general contingent,4,Oral Hygiene,daytime,secondary education,127.0,Portuguese,121.8,Yes,No,No,yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
22,single,General Contingent,4,Nursing,daytime,secondary education,142.0,Portuguese,125.5,Yes,No,No,yes,Female,No,18,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
23,single,General Contingent,4,Advertising and Marketing Management,daytime,secondary education,125.0,Portuguese,114.9,Yes,No,No,yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
24,single,General Contingent,1,Nursing,daytime,secondary education,126.0,Portuguese,123.9,No,No,No,yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
25,single,General Contingent,1,Social Service,daytime,secondary education,151.0,Portuguese,157.0,Yes,No,Yes,yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
26,single,2nd general contingent,2,Social Service,daytime,secondary education,115.0,Portuguese,116.4,Yes,No,No,yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
27,single,General Contingent,1,Veterinary Nursing,daytime,secondary education,138.0,Portuguese,131.0,Yes,No,No,yes,Female,No,18,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
28,single,General Contingent,1,Management,daytime,secondary education,135.0,Portuguese,122.1,Yes,No,No,yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
29,single,2nd general contingent,2,Nursing,daytime,secondary education,127.0,Portuguese,118.8,Yes,No,No,yes,Male,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
